"","구코드","동코드","위도","경도"
"1","680","10100",37.4952552,127.0450174
"2","680","10800",37.5116709,127.0259355
"3","680","10100",37.4949478,127.0450528
"4","680","10300",37.4894267,127.0712311
"5","680","10300",37.488275,127.0720116
"6","680","11500",37.4864435,127.1052112
"7","680","10300",37.4895815,127.07115
"8","680","10300",37.4879577,127.0725022
"9","680","10300",37.4878861,127.0726669
"10","680","10600",37.4971809,127.0593468
"11","680","10600",37.4971412,127.0594404
"12","680","11500",37.4865198,127.1043651
"13","680","11400",37.4847377,127.08064
"14","680","10100",37.4944755,127.0448907
"15","680","11400",37.4918569,127.0888902
"16","680","11400",37.4920192,127.0889614
"17","680","11400",37.4921712,127.0899381
"18","680","11500",37.487283,127.103965
"19","680","11000",37.5243446,127.0223748
"20","680","10100",37.5044984,127.0485586
"21","680","11000",37.5251611,127.0215139
"22","680","11000",37.5244081,127.0221111
"23","680","10800",37.5127005,127.0269593
"24","680","10100",37.5043772,127.0488795
"25","680","10300",37.5346658,127.1159756
"26","680","10500",37.5173714,127.0230136
"27","680","10700",37.5179356,127.0233841
"28","680","10800",37.5182421,127.024081
"29","680","10100",37.5008427,127.0366719
"30","680","10600",37.4919615,127.0643734
"31","680","10100",37.5019446,127.0412851
"32","680","10500",37.5199612,127.1120912
"33","680","10500",37.5197264,127.1121604
"34","680","10500",37.5167073,127.0204213
"35","680","10700",37.5171081,127.0223983
"36","680","10500",37.5220452,127.1075957
"37","680","10100",37.5006532,127.0367677
"38","680","10500",37.521973,127.1072678
"39","680","10500",37.4689481,127.1196508
"40","680","10500",37.5093666,127.0365966
"41","680","10200",37.5094003,127.036456
"42","680","10600",37.5092833,127.0365842
"43","680","10100",37.4903915,127.0616708
"44","680","10300",37.5035097,127.0404284
"45","680","10400",37.5055075,127.0478904
"46","680","11300",37.4949861,127.0790198
"47","680","11800",37.5035731,127.0404587
"48","680","10500",37.4902523,127.0557614
"49","680","10500",37.4687874,127.1195883
"50","680","10500",37.4800312,127.0122574
"51","680","10500",37.4684552,127.0285985
"52","680","10100",37.5039853,127.0412324
"53","680","10100",37.5039054,127.0413242
"54","680","10400",37.5067577,127.0505802
"55","680","10500",37.4698564,127.1190813
"56","680","11800",37.5093335,127.0364362
"57","680","10800",37.5273142,127.0456284
"58","680","10100",37.5035573,127.0405569
"59","680","10100",37.503919,127.0412045
"60","680","10800",37.5041783,127.0438077
"61","680","10800",37.5042944,127.0438032
"62","680","10600",37.5272482,127.0456862
"63","680","10100",37.5272688,127.0457618
"64","680","10400",37.5067929,127.0515751
"65","680","10400",37.5057549,127.0505244
"66","680","11400",37.5166587,127.045507
"67","680","10200",37.4910417,127.0556541
"68","680","10200",37.4921152,127.0584013
"69","680","10600",37.4928264,127.0443515
"70","680","10600",37.5130638,127.0655806
"71","680","10800",37.4886627,127.1212935
"72","680","10400",37.4628988,127.0352277
"73","680","11800",37.507103,127.1056819
"74","680","11800",37.5055597,127.1072722
"75","680","11800",37.5069747,127.1054517
"76","680","11400",37.5330457,127.0689354
"77","680","11400",37.5326465,127.0693798
"78","680","10800",37.5141011,127.028251
"79","680","10800",37.4872851,127.0324566
"80","680","10100",37.5037526,127.0094065
"81","680","10100",37.5050005,127.0105631
"82","680","10800",37.529892,127.0237085
"83","680","10800",37.4930329,127.0596137
"84","680","11000",37.5078426,127.0170589
"85","680","10300",37.5160463,127.0121613
"86","680","10100",37.5044598,127.0102899
"87","680","10600",37.4924398,127.1184947
"88","680","10700",37.5212791,127.0300025
"89","680","11800",37.4858208,127.0860246
"90","680","10700",37.5302176,127.1139953
"91","680","10800",37.4856533,127.0871405
"92","680","10700",37.527463,127.0534675
"93","680","10800",37.5287129,127.1171576
"94","680","10800",37.5118806,127.1080176
"95","680","10700",37.4894325,127.0585328
"96","680","11400",37.4902667,127.1117137
"97","680","10700",37.4922015,127.0578062
"98","680","10700",37.519821,127.0291077
"99","680","10100",37.501263,127.0263
"100","680","10800",37.5135515,127.0318553
"101","680","11100",37.5170528,127.0104028
"102","680","10100",37.5006701,127.0260762
"103","680","10100",37.5025463,127.0377459
"104","680","11000",37.5020803,127.0216804
"105","680","10100",37.4991314,127.0320533
"106","680","10100",37.498842,127.0311319
"107","680","10100",37.5322163,127.0273244
"108","680","10100",37.532215,127.027026
"109","680","10800",37.5318675,127.0259646
"110","680","10800",37.5310227,127.0249202
"111","680","11800",37.4878641,127.0397896
"112","680","10100",37.5019482,127.0254461
"113","680","10600",37.5275052,127.0292806
"114","680","10600",37.5268506,127.0292531
"115","680","10600",37.5262546,127.0286186
"116","680","10500",37.4984397,127.0445149
"117","680","11000",37.5029508,127.0107483
"118","680","11000",37.5036821,127.0455834
"119","680","11000",37.5035281,127.0457658
"120","680","11000",37.5033262,127.0457306
"121","680","10800",37.4643304,127.1077606
"122","680","10800",37.4646334,127.1069848
"123","680","10800",37.4939712,127.0769907
"124","680","10500",37.5293113,127.0232622
"125","680","10800",37.4867667,127.1133402
"126","680","10800",37.5308465,127.0276806
"127","680","10400",37.4879068,127.0399043
"128","680","10500",37.4892185,127.0400319
"129","680","10500",37.4893023,127.040128
"130","680","10800",37.4930051,127.0775498
