"","구코드","동코드","위도","경도"
"1","560","11000",37.5197749,126.9408478
"2","560","11000",37.5190644,126.9406467
"3","560","13300",37.4945906,126.8998962
"4","560","10300",37.5138865,126.9453909
"5","560","13200",37.5133343,126.9400466
"6","560","13200",37.5133655,126.9403772
"7","560","12500",37.5070866,126.9323344
"8","560","13200",37.4877245,126.9025898
"9","560","13200",37.5020601,126.9015535
"10","560","11000",37.5296061,126.923681
"11","560","11800",37.5332476,126.8925012
"12","560","12700",37.5094698,126.8868242
"13","560","11000",37.4981655,126.9127835
"14","560","11000",37.4938455,126.9235849
"15","560","12400",37.4862875,126.9360437
"16","560","11800",37.5324632,126.8920175
"17","560","11800",37.5210698,126.8971881
"18","560","11100",37.5248041,126.9247188
"19","560","11100",37.5247951,126.9248845
"20","560","12700",37.5255755,126.9244502
"21","560","11000",37.5258696,126.926632
"22","560","11000",37.5184324,126.9276692
"23","560","12400",37.5244032,126.9286609
"24","560","11100",37.5252565,126.9242861
"25","560","11000",37.5265076,126.9262641
"26","560","11000",37.5209967,126.9320013
"27","560","11000",37.5228786,126.9319627
"28","560","11000",37.5162723,126.8850784
"29","560","11000",37.5206784,126.9399635
"30","560","11000",37.516273,126.8852133
"31","560","11600",37.5280851,126.9183778
"32","560","12400",37.5201688,126.887183
"33","560","11000",37.5548372,126.9158544
"34","560","11600",37.5183772,126.9010794
"35","560","10800",37.4932083,126.9011201
"36","560","10500",37.5345261,126.9009234
"37","560","10500",37.5338437,126.9015428
"38","560","11000",37.5549093,126.9366626
"39","560","13200",37.5021245,126.9059371
"40","560","11000",37.5169404,126.9288587
"41","560","11500",37.53184,126.9115421
"42","560","10500",37.5165175,126.902353
"43","560","10500",37.5164042,126.9024071
"44","560","10500",37.51967,126.9328875
"45","560","10500",37.5185248,126.901291
"46","560","11500",37.5287532,126.9178329
"47","560","11600",37.527328,126.9180282
"48","560","11600",37.5386789,126.8847843
"49","560","11600",37.5389888,126.8849855
"50","560","10500",37.5198521,126.9331727
"51","560","10500",37.5198954,126.9326457
"52","560","10800",37.4928736,126.9006049
"53","560","11000",37.5172625,126.9288195
"54","560","10500",37.5180555,126.9040405
"55","560","12100",37.5095259,126.9248401
"56","560","12100",37.5096274,126.9243527
"57","560","11100",37.5094672,126.9247643
"58","560","11000",37.5170946,126.9289848
"59","560","10800",37.4924507,126.8999987
"60","560","10500",37.5179733,126.90255
"61","560","11000",37.5228574,126.9260436
"62","560","11000",37.4890618,126.906831
"63","560","11000",37.4881872,126.9075431
"64","560","13300",37.549142,126.9231367
"65","560","11000",37.5138425,126.9261156
"66","560","12500",37.5276574,126.8974674
"67","560","13300",37.5141049,126.9187735
"68","560","11700",37.531471,126.9233024
"69","560","11000",37.4886773,126.9067175
"70","560","11000",37.490464,126.9073903
"71","560","11000",37.4884103,126.905694
"72","560","11000",37.4890498,126.9060911
"73","560","11000",37.4887238,126.9062559
"74","560","11000",37.4895601,126.9066519
"75","560","11000",37.5135696,126.9258691
"76","560","11000",37.5137981,126.926
"77","560","13200",37.4890781,126.9168493
"78","560","13300",37.4993176,126.9083826
