"","주소","lon","lat","자치구","idx"
"1","영등포구 선유로55길 32",126.8963677,37.5397741,"영등포구",1
"2","영등포구 당산로 187",126.8997323,37.5319593,"영등포구",2
"3","영등포구 선유로 131",126.8897251,37.5263783,"영등포구",3
"4","영등포구 대방천로 206",126.9132303,37.4977844,"영등포구",4
"5","영등포구 여의대방로35길 14",126.9191481,37.5026701,"영등포구",5
"6","영등포구 신길로23길 43",126.9061518,37.5023694,"영등포구",6
"7","영등포구 도림로53길 32-9",126.9008811,37.4987722,"영등포구",7
"8","영등포구 문래로 104",126.8932156,37.5185396,"영등포구",8
"9","영등포구 선유로43가길 14",126.8927942,37.5328162,"영등포구",9
"10","영등포구 대림로8길 25",126.9058212,37.492244,"영등포구",10
"11","영등포구 도신로4길 32",126.8957265,37.5006847,"영등포구",11
"12","영등포구 국회대로53길 20",126.9074081,37.5263594,"영등포구",12
"13","영등포구 경인로 756",126.8992618,37.5129331,"영등포구",13
"14","영등포구 문래로 56",126.8876574,37.5194948,"영등포구",14
"15","영등포구 도신로60길 23",126.918009,37.509968,"영등포구",15
"16","영등포구 양산로 185",126.9038138,37.5236591,"영등포구",16
"17","영등포구 여의나루로2길 14",126.9228068,37.5197467,"영등포구",17
"18","영등포구 여의대방로 439",126.936812,37.522829,"영등포구",18
