"","vl","hl","index1","vl2","hl2","index2"
"1",126.8782102,37.4853911,1,126.8782102,37.4853911,1
"2",126.8782102,37.4970871333333,2,126.890157683333,37.4853911,2
"3",126.8782102,37.5087831666667,3,126.902105166667,37.4853911,3
"4",126.8782102,37.5204792,4,126.91405265,37.4853911,4
"5",126.8782102,37.5321752333333,5,126.926000133333,37.4853911,5
"6",126.8782102,37.5438712666667,6,126.937947616667,37.4853911,6
"7",126.8782102,37.5555673,7,126.9498951,37.4853911,7
"8",126.9498951,37.4853911,1,126.8782102,37.5555673,1
"9",126.9498951,37.4970871333333,2,126.890157683333,37.5555673,2
"10",126.9498951,37.5087831666667,3,126.902105166667,37.5555673,3
"11",126.9498951,37.5204792,4,126.91405265,37.5555673,4
"12",126.9498951,37.5321752333333,5,126.926000133333,37.5555673,5
"13",126.9498951,37.5438712666667,6,126.937947616667,37.5555673,6
"14",126.9498951,37.5555673,7,126.9498951,37.5555673,7
